Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-03-01,71,0,2.0,96,1.3,1894,1.4,0.0,2.0,0.0,Spring,Holiday,Yes
2018-03-01,147,1,2.1,97,0.2,859,1.6,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,180,2,2.0,97,1.0,580,1.5,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,92,3,1.6,97,2.3,469,1.1,0.0,0.1,0.0,Spring,Holiday,Yes
2018-03-01,28,4,1.6,97,1.1,636,1.1,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,11,5,2.2,97,2.9,362,1.7,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,33,6,3.0,96,2.7,303,2.4,0.0,0.4,0.0,Spring,Holiday,Yes
2018-03-01,61,7,2.6,89,4.3,320,0.9,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,148,8,1.5,80,3.2,1246,-1.5,0.04,0.0,0.0,Spring,Holiday,Yes
2018-03-01,160,9,0.1,78,4.9,615,-3.2,0.09,0.0,0.0,Spring,Holiday,Yes
2018-03-01,191,10,0.1,53,5.3,1022,-8.3,1.12,0.0,0.0,Spring,Holiday,Yes
2018-03-01,239,11,0.8,52,4.6,1035,-7.9,2.2,0.0,0.0,Spring,Holiday,Yes
2018-03-01,311,12,0.5,46,4.7,1172,-9.8,2.49,0.0,0.0,Spring,Holiday,Yes
2018-03-01,358,13,1.4,37,4.0,1681,-11.7,2.95,0.0,0.0,Spring,Holiday,Yes
2018-03-01,375,14,1.2,36,6.0,1430,-12.2,2.86,0.0,0.0,Spring,Holiday,Yes
2018-03-01,458,15,1.6,35,4.5,1567,-12.2,2.54,0.0,0.0,Spring,Holiday,Yes
2018-03-01,460,16,1.4,33,4.8,1480,-13.1,1.98,0.0,0.0,Spring,Holiday,Yes
2018-03-01,423,17,0.4,37,5.2,1366,-12.6,1.23,0.0,0.0,Spring,Holiday,Yes
2018-03-01,317,18,-0.8,40,4.7,1429,-12.7,0.43,0.0,0.0,Spring,Holiday,Yes
2018-03-01,231,19,-1.7,45,3.3,1375,-12.1,0.01,0.0,0.0,Spring,Holiday,Yes
2018-03-01,246,20,-2.2,49,3.5,1325,-11.4,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,212,21,-3.0,50,3.7,1301,-11.9,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,190,22,-3.6,52,3.7,1277,-12.0,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-01,190,23,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0,Spring,Holiday,Yes
2018-03-02,156,0,-4.3,53,2.6,1334,-12.4,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,108,1,-4.6,52,2.1,1372,-12.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,71,2,-5.3,52,1.2,1434,-13.6,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,49,3,-5.7,50,1.7,1559,-14.4,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,47,4,-5.8,48,1.5,1552,-15.0,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,65,5,-6.1,49,1.0,1621,-15.1,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,135,6,-6.4,50,1.5,1593,-15.1,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,401,7,-6.6,52,0.5,1555,-14.8,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,617,8,-6.2,45,0.4,1600,-16.2,0.17,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,343,9,-4.6,34,1.2,1583,-18.1,0.87,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,274,10,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,343,11,0.1,30,1.8,1640,-15.4,2.19,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,388,12,1.8,26,2.2,1556,-15.7,2.61,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,375,13,2.3,22,3.1,1627,-17.2,2.83,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,450,14,3.4,23,2.4,1545,-15.8,2.74,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,463,15,4.3,22,1.3,1837,-15.6,2.48,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,574,16,5.2,21,2.1,1721,-15.4,1.97,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,631,17,4.3,21,2.5,1961,-16.1,1.13,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,854,18,3.5,22,0.9,1961,-16.2,0.43,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,568,19,2.0,26,2.3,1985,-15.5,0.02,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,427,20,1.2,35,2.5,1977,-12.6,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,396,21,1.0,34,1.4,1880,-13.1,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,414,22,0.5,38,0.9,1907,-12.2,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-02,284,23,0.3,38,0.2,1895,-12.3,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,218,0,0.5,34,0.4,1889,-13.5,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,229,1,0.6,36,0.4,1933,-12.7,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,176,2,0.9,35,0.5,1856,-12.8,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,149,3,0.8,38,0.8,1594,-11.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,93,4,0.6,43,0.9,1599,-10.5,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,55,5,0.8,39,1.0,1463,-11.6,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,71,6,0.5,42,0.9,1543,-10.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,159,7,0.1,43,1.4,1502,-11.0,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,306,8,0.4,38,1.8,1564,-12.3,0.16,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,329,9,2.2,30,1.5,1513,-13.6,0.81,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,354,10,5.1,27,1.2,1563,-12.4,1.54,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,431,11,8.1,21,2.1,1738,-12.9,2.15,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,605,12,10.7,16,1.7,1657,-14.1,2.56,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,771,13,12.2,14,1.6,1896,-14.5,2.75,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,1025,14,14.4,14,1.4,1833,-12.8,2.66,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,1238,15,16.0,14,2.2,1828,-11.5,2.33,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,1285,16,15.8,15,2.6,1867,-10.8,1.7,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,1197,17,15.0,22,2.5,1946,-6.5,0.96,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,920,18,13.9,26,1.9,1995,-5.3,0.41,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,630,19,12.7,32,2.3,2000,-3.6,0.01,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,631,20,11.1,51,3.7,1957,1.3,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,588,21,10.3,52,2.2,1843,0.8,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,516,22,10.2,49,1.7,1972,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-03,215,23,9.4,74,1.6,559,4.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,161,0,8.5,87,0.9,303,6.4,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,118,1,8.3,91,0.1,282,6.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,95,2,8.3,95,0.3,243,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,90,3,8.5,96,0.4,238,7.8,0.0,0.1,0.0,Spring,No Holiday,Yes
2018-03-04,34,4,8.8,95,0.2,218,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,15,5,8.8,96,1.2,196,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,20,6,8.6,96,0.7,224,7.9,0.0,0.2,0.0,Spring,No Holiday,Yes
2018-03-04,23,7,8.4,97,2.6,122,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes
2018-03-04,70,8,8.3,97,0.6,152,7.8,0.01,0.0,0.0,Spring,No Holiday,Yes
