Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-06-01,963,0,20.1,63,1.1,1698,12.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,776,1,19.5,65,0.4,1662,12.7,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,554,2,19.0,72,1.4,1258,13.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,366,3,18.6,72,1.4,1340,13.4,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,265,4,18.1,76,1.8,561,13.7,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,306,5,17.8,75,1.0,1210,13.3,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,672,6,17.5,76,1.2,1161,13.2,0.05,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1421,7,18.1,64,0.6,923,11.1,0.47,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,2149,8,20.6,55,0.7,1200,11.2,1.21,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1219,9,23.1,52,1.7,1012,12.6,1.88,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,862,10,25.3,45,1.3,1371,12.5,2.45,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1036,11,26.8,38,2.6,1879,11.2,2.99,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1076,12,28.2,34,2.6,1867,10.8,3.26,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1093,13,29.4,33,2.2,1535,11.4,3.3,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1071,14,29.6,31,3.7,1988,10.6,3.25,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1235,15,29.9,36,3.3,1866,13.2,2.94,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1488,16,29.9,34,3.2,1912,12.3,2.46,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,2123,17,29.2,35,4.3,1967,12.1,1.87,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,3088,18,28.5,36,3.0,1981,11.9,1.21,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,2505,19,26.8,35,1.9,2000,10.0,0.54,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,2163,20,25.0,39,2.8,2000,10.0,0.06,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,2066,21,23.5,44,1.6,2000,10.5,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1991,22,22.7,44,1.5,2000,9.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-01,1440,23,21.8,49,1.6,1965,10.6,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,1165,0,20.9,53,1.4,1717,10.9,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,989,1,20.2,57,0.4,1428,11.4,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,677,2,19.6,60,1.9,1200,11.6,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,475,3,18.9,63,1.5,1007,11.6,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,312,4,18.3,66,1.3,929,11.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,264,5,17.8,69,1.1,951,12.0,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,342,6,17.7,68,1.3,842,11.7,0.05,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,560,7,18.1,59,0.6,789,9.9,0.47,0.0,0.0,Summer,No Holiday,Yes
2018-06-02,898,8,20.4,54,1.0,828,10.7,1.23,0.0,0.0,Summer,No Holiday,Yes
